indicator,age_modifier,sex_modifier,value,county,sub_indicator
Percentage of Teenage Pregnancy for girls/women aged 15-19 yrs who have ever been pregnant,TOTAL,FEMALE,18.5,Turkana,Percentage Of Teenage Pregnancy For Girls/Women Aged 15-19 Yrs Who Have Ever Been Pregnant FEMALE
GBV: Percentage of girls/women who have experienced physical violence since age 15,TOTAL,FEMALE,42.4,Turkana,GBV: Percentage Of Girls/Women Who Have Experienced Physical Violence Since Age 15 FEMALE
GBV: Percentage of girls/women aged 15-49 yrs who have ever experienced sexual violence,TOTAL,FEMALE,10.8,Turkana,GBV: Percentage Of Girls/Women Aged 15-49 Yrs Who Have Ever Experienced Sexual Violence FEMALE
Number of education Institutions (Public & Private),PREPRIMARY_ECE,NA,312,Wajir,Number Of Education Institutions (Public & Private) PREPRIMARY/ECE 
Number of education Institutions (Public & Private),PRIMARY,NA,312,Wajir,Number Of Education Institutions (Public & Private) PRIMARY 
Number of education Institutions (Public & Private),SECONDARY,NA,62,Wajir,Number Of Education Institutions (Public & Private) SECONDARY 
Gender Parity Index,PREPRIMARY_ECE,TOTAL,0.8,Wajir,Gender Parity Index PREPRIMARY/ECE TOTAL
Gender Parity Index,PRIMARY,TOTAL,0.77,Wajir,Gender Parity Index PRIMARY TOTAL
Gender Parity Index,SECONDARY,TOTAL,0.58,Wajir,Gender Parity Index SECONDARY TOTAL
Learner to teacher Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,58,Wajir,Learner-Teacher Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner to teacher Ratio in Public Schools,PRIMARY,TOTAL,80,Wajir,Learner-Teacher Ratio In Public Schools PRIMARY TOTAL
Learner to teacher Ratio in Public Schools,SECONDARY,TOTAL,46,Wajir,Learner-Teacher Ratio In Public Schools SECONDARY TOTAL
Learner-Classroom Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,72,Wajir,Learner-Classroom Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner-Classroom Ratio in Public Schools,PRIMARY,TOTAL,34,Wajir,Learner-Classroom Ratio In Public Schools PRIMARY TOTAL
Learner-Classroom Ratio in Public Schools,SECONDARY,TOTAL,42,Wajir,Learner-Classroom Ratio In Public Schools SECONDARY TOTAL
Percentage of students with no access to improved water source,NA,TOTAL,50,Wajir,Percentage Of Students With No Access To Improved Water Source  TOTAL
Number of schools with no water source,NA,TOTAL,190,Wajir,Number Of Schools With No Water Source  TOTAL
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,FEMALE,593,Wajir,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE FEMALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,MALE,862,Wajir,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE MALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,TOTAL,1455,Wajir,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE TOTAL
Students' dropout/Absenteeism during 2022,PRIMARY,FEMALE,2465,Wajir,Students' Dropout/Absenteeism During 2022 PRIMARY FEMALE
Students' dropout/Absenteeism during 2022,PRIMARY,MALE,3097,Wajir,Students' Dropout/Absenteeism During 2022 PRIMARY MALE
Students' dropout/Absenteeism during 2022,PRIMARY,TOTAL,5562,Wajir,Students' Dropout/Absenteeism During 2022 PRIMARY TOTAL
Students' dropout/Absenteeism during 2022,SECONDARY,FEMALE,1086,Wajir,Students' Dropout/Absenteeism During 2022 SECONDARY FEMALE
Students' dropout/Absenteeism during 2022,SECONDARY,MALE,1792,Wajir,Students' Dropout/Absenteeism During 2022 SECONDARY MALE
Students' dropout/Absenteeism during 2022,SECONDARY,TOTAL,2878,Wajir,Students' Dropout/Absenteeism During 2022 SECONDARY TOTAL
Net Enrolment Rate (NER),PREPRIMARY_ECE,FEMALE,47.1,Wajir,Net Enrolment Rate (NER) PREPRIMARY/ECE FEMALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,MALE,58.2,Wajir,Net Enrolment Rate (NER) PREPRIMARY/ECE MALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,TOTAL,52.7,Wajir,Net Enrolment Rate (NER) PREPRIMARY/ECE TOTAL
Net Enrolment Rate (NER),PRIMARY,FEMALE,23.3,Wajir,Net Enrolment Rate (NER) PRIMARY FEMALE
Net Enrolment Rate (NER),PRIMARY,MALE,25.8,Wajir,Net Enrolment Rate (NER) PRIMARY MALE
Net Enrolment Rate (NER),PRIMARY,TOTAL,24.6,Wajir,Net Enrolment Rate (NER) PRIMARY TOTAL
Net Enrolment Rate (NER),SECONDARY,FEMALE,13,Wajir,Net Enrolment Rate (NER) SECONDARY FEMALE
Net Enrolment Rate (NER),SECONDARY,MALE,15.5,Wajir,Net Enrolment Rate (NER) SECONDARY MALE
Net Enrolment Rate (NER),SECONDARY,TOTAL,14.5,Wajir,Net Enrolment Rate (NER) SECONDARY TOTAL
Primary-to-Secondary Transition Rate,SECONDARY,FEMALE,82.2,Wajir,Primary-To-Secondary Transition Rate SECONDARY FEMALE
Primary-to-Secondary Transition Rate,SECONDARY,MALE,84.2,Wajir,Primary-To-Secondary Transition Rate SECONDARY MALE
Primary-to-Secondary Transition Rate,SECONDARY,TOTAL,83.4,Wajir,Primary-To-Secondary Transition Rate SECONDARY TOTAL
county_population,TOTAL,FEMALE,438918,Wajir,County population FEMALE
county_population,TOTAL,MALE,431718,Wajir,County population MALE
county_population,TOTAL,TOTAL,870636,Wajir,County population TOTAL
school_age_children,TOTAL,FEMALE,174715,Wajir,School-aged children FEMALE
school_age_children,TOTAL,MALE,172757,Wajir,School-aged children MALE
school_age_children,TOTAL,TOTAL,347472,Wajir,School-aged children TOTAL
out_of_school_children,PREPRIMARY_ECE,FEMALE,26160,Wajir,Out-of-School children PREPRIMARY/ECE FEMALE
out_of_school_children,PREPRIMARY_ECE,MALE,25730,Wajir,Out-of-School children PREPRIMARY/ECE MALE
out_of_school_children,PREPRIMARY_ECE,TOTAL,51890,Wajir,Out-of-School children PREPRIMARY/ECE TOTAL
out_of_school_children,PRIMARY,FEMALE,70890,Wajir,Out-of-School children PRIMARY FEMALE
out_of_school_children,PRIMARY,MALE,81240,Wajir,Out-of-School children PRIMARY MALE
out_of_school_children,PRIMARY,TOTAL,152130,Wajir,Out-of-School children PRIMARY TOTAL
out_of_school_children,SECONDARY,FEMALE,26030,Wajir,Out-of-School children SECONDARY FEMALE
out_of_school_children,SECONDARY,MALE,36490,Wajir,Out-of-School children SECONDARY MALE
out_of_school_children,SECONDARY,TOTAL,62520,Wajir,Out-of-School children SECONDARY TOTAL
Percentage of Teenage Pregnancy for girls/women aged 15-19 yrs who have ever been pregnant,TOTAL,FEMALE,10.8,Wajir,Percentage Of Teenage Pregnancy For Girls/Women Aged 15-19 Yrs Who Have Ever Been Pregnant FEMALE
GBV: Percentage of girls/women who have experienced physical violence since age 15,TOTAL,FEMALE,13.200000000000001,Wajir,GBV: Percentage Of Girls/Women Who Have Experienced Physical Violence Since Age 15 FEMALE
GBV: Percentage of girls/women aged 15-49 yrs who have ever experienced sexual violence,TOTAL,FEMALE,1.5,Wajir,GBV: Percentage Of Girls/Women Aged 15-49 Yrs Who Have Ever Experienced Sexual Violence FEMALE
Number of education Institutions (Public & Private),PREPRIMARY_ECE,NA,1181,Baringo,Number Of Education Institutions (Public & Private) PREPRIMARY/ECE 
Number of education Institutions (Public & Private),PRIMARY,NA,846,Baringo,Number Of Education Institutions (Public & Private) PRIMARY 
Number of education Institutions (Public & Private),SECONDARY,NA,183,Baringo,Number Of Education Institutions (Public & Private) SECONDARY 
Gender Parity Index,PREPRIMARY_ECE,TOTAL,0.96,Baringo,Gender Parity Index PREPRIMARY/ECE TOTAL
Gender Parity Index,PRIMARY,TOTAL,0.94,Baringo,Gender Parity Index PRIMARY TOTAL
Gender Parity Index,SECONDARY,TOTAL,1.01,Baringo,Gender Parity Index SECONDARY TOTAL
Learner to teacher Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,34,Baringo,Learner-Teacher Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner to teacher Ratio in Public Schools,PRIMARY,TOTAL,26,Baringo,Learner-Teacher Ratio In Public Schools PRIMARY TOTAL
Learner to teacher Ratio in Public Schools,SECONDARY,TOTAL,23,Baringo,Learner-Teacher Ratio In Public Schools SECONDARY TOTAL
Learner-Classroom Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,35,Baringo,Learner-Classroom Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner-Classroom Ratio in Public Schools,PRIMARY,TOTAL,23,Baringo,Learner-Classroom Ratio In Public Schools PRIMARY TOTAL
Learner-Classroom Ratio in Public Schools,SECONDARY,TOTAL,37,Baringo,Learner-Classroom Ratio In Public Schools SECONDARY TOTAL
Percentage of students with no access to improved water source,NA,TOTAL,49,Baringo,Percentage Of Students With No Access To Improved Water Source  TOTAL
Number of schools with no water source,NA,TOTAL,503,Baringo,Number Of Schools With No Water Source  TOTAL
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,FEMALE,1036,Baringo,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE FEMALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,MALE,77,Baringo,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE MALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,TOTAL,1113,Baringo,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE TOTAL
Students' dropout/Absenteeism during 2022,PRIMARY,FEMALE,579,Baringo,Students' Dropout/Absenteeism During 2022 PRIMARY FEMALE
Students' dropout/Absenteeism during 2022,PRIMARY,MALE,1269,Baringo,Students' Dropout/Absenteeism During 2022 PRIMARY MALE
Students' dropout/Absenteeism during 2022,PRIMARY,TOTAL,1848,Baringo,Students' Dropout/Absenteeism During 2022 PRIMARY TOTAL
Students' dropout/Absenteeism during 2022,SECONDARY,FEMALE,32,Baringo,Students' Dropout/Absenteeism During 2022 SECONDARY FEMALE
Students' dropout/Absenteeism during 2022,SECONDARY,MALE,25,Baringo,Students' Dropout/Absenteeism During 2022 SECONDARY MALE
Students' dropout/Absenteeism during 2022,SECONDARY,TOTAL,57,Baringo,Students' Dropout/Absenteeism During 2022 SECONDARY TOTAL
Net Enrolment Rate (NER),PREPRIMARY_ECE,FEMALE,133.6,Baringo,Net Enrolment Rate (NER) PREPRIMARY/ECE FEMALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,MALE,130.1,Baringo,Net Enrolment Rate (NER) PREPRIMARY/ECE MALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,TOTAL,131.8,Baringo,Net Enrolment Rate (NER) PREPRIMARY/ECE TOTAL
Net Enrolment Rate (NER),PRIMARY,FEMALE,77.7,Baringo,Net Enrolment Rate (NER) PRIMARY FEMALE
Net Enrolment Rate (NER),PRIMARY,MALE,78.8,Baringo,Net Enrolment Rate (NER) PRIMARY MALE
Net Enrolment Rate (NER),PRIMARY,TOTAL,78.3,Baringo,Net Enrolment Rate (NER) PRIMARY TOTAL
Net Enrolment Rate (NER),SECONDARY,FEMALE,55.3,Baringo,Net Enrolment Rate (NER) SECONDARY FEMALE
Net Enrolment Rate (NER),SECONDARY,MALE,49.5,Baringo,Net Enrolment Rate (NER) SECONDARY MALE
Net Enrolment Rate (NER),SECONDARY,TOTAL,52.2,Baringo,Net Enrolment Rate (NER) SECONDARY TOTAL
Primary-to-Secondary Transition Rate,SECONDARY,FEMALE,86.8,Baringo,Primary-To-Secondary Transition Rate SECONDARY FEMALE
Primary-to-Secondary Transition Rate,SECONDARY,MALE,86,Baringo,Primary-To-Secondary Transition Rate SECONDARY MALE
Primary-to-Secondary Transition Rate,SECONDARY,TOTAL,86.4,Baringo,Primary-To-Secondary Transition Rate SECONDARY TOTAL
county_population,TOTAL,FEMALE,371883,Baringo,County population FEMALE
county_population,TOTAL,MALE,361450,Baringo,County population MALE
county_population,TOTAL,TOTAL,733333,Baringo,County population TOTAL
school_age_children,TOTAL,FEMALE,136616,Baringo,School-aged children FEMALE
school_age_children,TOTAL,MALE,133304,Baringo,School-aged children MALE
school_age_children,TOTAL,TOTAL,269920,Baringo,School-aged children TOTAL
out_of_school_children,PREPRIMARY_ECE,FEMALE,6510,Baringo,Out-of-School children PREPRIMARY/ECE FEMALE
out_of_school_children,PREPRIMARY_ECE,MALE,7260,Baringo,Out-of-School children PREPRIMARY/ECE MALE
out_of_school_children,PREPRIMARY_ECE,TOTAL,13770,Baringo,Out-of-School children PREPRIMARY/ECE TOTAL
out_of_school_children,PRIMARY,FEMALE,16030,Baringo,Out-of-School children PRIMARY FEMALE
out_of_school_children,PRIMARY,MALE,18970,Baringo,Out-of-School children PRIMARY MALE
out_of_school_children,PRIMARY,TOTAL,35000,Baringo,Out-of-School children PRIMARY TOTAL
out_of_school_children,SECONDARY,FEMALE,6880,Baringo,Out-of-School children SECONDARY FEMALE
out_of_school_children,SECONDARY,MALE,8760,Baringo,Out-of-School children SECONDARY MALE
out_of_school_children,SECONDARY,TOTAL,15640,Baringo,Out-of-School children SECONDARY TOTAL
Percentage of Teenage Pregnancy for girls/women aged 15-19 yrs who have ever been pregnant,TOTAL,FEMALE,20.3,Baringo,Percentage Of Teenage Pregnancy For Girls/Women Aged 15-19 Yrs Who Have Ever Been Pregnant FEMALE
GBV: Percentage of girls/women who have experienced physical violence since age 15,TOTAL,FEMALE,37.9,Baringo,GBV: Percentage Of Girls/Women Who Have Experienced Physical Violence Since Age 15 FEMALE
GBV: Percentage of girls/women aged 15-49 yrs who have ever experienced sexual violence,TOTAL,FEMALE,8.4,Baringo,GBV: Percentage Of Girls/Women Aged 15-49 Yrs Who Have Ever Experienced Sexual Violence FEMALE
Number of education Institutions (Public & Private),PREPRIMARY_ECE,NA,410,Garissa,Number Of Education Institutions (Public & Private) PREPRIMARY/ECE 
Number of education Institutions (Public & Private),PRIMARY,NA,322,Garissa,Number Of Education Institutions (Public & Private) PRIMARY 
Number of education Institutions (Public & Private),SECONDARY,NA,68,Garissa,Number Of Education Institutions (Public & Private) SECONDARY 
Gender Parity Index,PREPRIMARY_ECE,TOTAL,0.81,Garissa,Gender Parity Index PREPRIMARY/ECE TOTAL
Gender Parity Index,PRIMARY,TOTAL,0.73,Garissa,Gender Parity Index PRIMARY TOTAL
Gender Parity Index,SECONDARY,TOTAL,0.68,Garissa,Gender Parity Index SECONDARY TOTAL
Learner to teacher Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,103,Garissa,Learner-Teacher Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner to teacher Ratio in Public Schools,PRIMARY,TOTAL,81,Garissa,Learner-Teacher Ratio In Public Schools PRIMARY TOTAL
Learner to teacher Ratio in Public Schools,SECONDARY,TOTAL,30,Garissa,Learner-Teacher Ratio In Public Schools SECONDARY TOTAL
Learner-Classroom Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,48,Garissa,Learner-Classroom Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner-Classroom Ratio in Public Schools,PRIMARY,TOTAL,33,Garissa,Learner-Classroom Ratio In Public Schools PRIMARY TOTAL
Learner-Classroom Ratio in Public Schools,SECONDARY,TOTAL,35,Garissa,Learner-Classroom Ratio In Public Schools SECONDARY TOTAL
Percentage of students with no access to improved water source,NA,TOTAL,40,Garissa,Percentage Of Students With No Access To Improved Water Source  TOTAL
Number of schools with no water source,NA,TOTAL,126,Garissa,Number Of Schools With No Water Source  TOTAL
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,FEMALE,221,Garissa,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE FEMALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,MALE,60,Garissa,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE MALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,TOTAL,281,Garissa,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE TOTAL
Students' dropout/Absenteeism during 2022,PRIMARY,FEMALE,299,Garissa,Students' Dropout/Absenteeism During 2022 PRIMARY FEMALE
Students' dropout/Absenteeism during 2022,PRIMARY,MALE,401,Garissa,Students' Dropout/Absenteeism During 2022 PRIMARY MALE
Students' dropout/Absenteeism during 2022,PRIMARY,TOTAL,700,Garissa,Students' Dropout/Absenteeism During 2022 PRIMARY TOTAL
Students' dropout/Absenteeism during 2022,SECONDARY,FEMALE,79,Garissa,Students' Dropout/Absenteeism During 2022 SECONDARY FEMALE
Students' dropout/Absenteeism during 2022,SECONDARY,MALE,106,Garissa,Students' Dropout/Absenteeism During 2022 SECONDARY MALE
Students' dropout/Absenteeism during 2022,SECONDARY,TOTAL,185,Garissa,Students' Dropout/Absenteeism During 2022 SECONDARY TOTAL
Net Enrolment Rate (NER),PREPRIMARY_ECE,FEMALE,52.7,Garissa,Net Enrolment Rate (NER) PREPRIMARY/ECE FEMALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,MALE,60.1,Garissa,Net Enrolment Rate (NER) PREPRIMARY/ECE MALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,TOTAL,56.5,Garissa,Net Enrolment Rate (NER) PREPRIMARY/ECE TOTAL
Net Enrolment Rate (NER),PRIMARY,FEMALE,25.6,Garissa,Net Enrolment Rate (NER) PRIMARY FEMALE
Net Enrolment Rate (NER),PRIMARY,MALE,27.6,Garissa,Net Enrolment Rate (NER) PRIMARY MALE
Net Enrolment Rate (NER),PRIMARY,TOTAL,26.7,Garissa,Net Enrolment Rate (NER) PRIMARY TOTAL
Net Enrolment Rate (NER),SECONDARY,FEMALE,11.3,Garissa,Net Enrolment Rate (NER) SECONDARY FEMALE
Net Enrolment Rate (NER),SECONDARY,MALE,9,Garissa,Net Enrolment Rate (NER) SECONDARY MALE
Net Enrolment Rate (NER),SECONDARY,TOTAL,9.9,Garissa,Net Enrolment Rate (NER) SECONDARY TOTAL
Primary-to-Secondary Transition Rate,SECONDARY,FEMALE,86.4,Garissa,Primary-To-Secondary Transition Rate SECONDARY FEMALE
Primary-to-Secondary Transition Rate,SECONDARY,MALE,84.8,Garissa,Primary-To-Secondary Transition Rate SECONDARY MALE
Primary-to-Secondary Transition Rate,SECONDARY,TOTAL,85.4,Garissa,Primary-To-Secondary Transition Rate SECONDARY TOTAL
county_population,TOTAL,FEMALE,468506,Garissa,County population FEMALE
county_population,TOTAL,MALE,458525,Garissa,County population MALE
county_population,TOTAL,TOTAL,927031,Garissa,County population TOTAL
school_age_children,TOTAL,FEMALE,170548,Garissa,School-aged children FEMALE
school_age_children,TOTAL,MALE,163146,Garissa,School-aged children MALE
school_age_children,TOTAL,TOTAL,333694,Garissa,School-aged children TOTAL
out_of_school_children,PREPRIMARY_ECE,FEMALE,22980,Garissa,Out-of-School children PREPRIMARY/ECE FEMALE
out_of_school_children,PREPRIMARY_ECE,MALE,27050,Garissa,Out-of-School children PREPRIMARY/ECE MALE
out_of_school_children,PREPRIMARY_ECE,TOTAL,50030,Garissa,Out-of-School children PREPRIMARY/ECE TOTAL
out_of_school_children,PRIMARY,FEMALE,75910,Garissa,Out-of-School children PRIMARY FEMALE
out_of_school_children,PRIMARY,MALE,90100,Garissa,Out-of-School children PRIMARY MALE
out_of_school_children,PRIMARY,TOTAL,166010,Garissa,Out-of-School children PRIMARY TOTAL
out_of_school_children,SECONDARY,FEMALE,28540,Garissa,Out-of-School children SECONDARY FEMALE
out_of_school_children,SECONDARY,MALE,44830,Garissa,Out-of-School children SECONDARY MALE
out_of_school_children,SECONDARY,TOTAL,73370,Garissa,Out-of-School children SECONDARY TOTAL
Percentage of Teenage Pregnancy for girls/women aged 15-19 yrs who have ever been pregnant,TOTAL,FEMALE,14.799999999999999,Garissa,Percentage Of Teenage Pregnancy For Girls/Women Aged 15-19 Yrs Who Have Ever Been Pregnant FEMALE
GBV: Percentage of girls/women who have experienced physical violence since age 15,TOTAL,FEMALE,21,Garissa,GBV: Percentage Of Girls/Women Who Have Experienced Physical Violence Since Age 15 FEMALE
GBV: Percentage of girls/women aged 15-49 yrs who have ever experienced sexual violence,TOTAL,FEMALE,5.800000000000001,Garissa,GBV: Percentage Of Girls/Women Aged 15-49 Yrs Who Have Ever Experienced Sexual Violence FEMALE
Number of education Institutions (Public & Private),PREPRIMARY_ECE,NA,249,Isiolo,Number Of Education Institutions (Public & Private) PREPRIMARY/ECE 
Number of education Institutions (Public & Private),PRIMARY,NA,160,Isiolo,Number Of Education Institutions (Public & Private) PRIMARY 
Number of education Institutions (Public & Private),SECONDARY,NA,35,Isiolo,Number Of Education Institutions (Public & Private) SECONDARY 
Gender Parity Index,PREPRIMARY_ECE,TOTAL,1.05,Isiolo,Gender Parity Index PREPRIMARY/ECE TOTAL
Gender Parity Index,PRIMARY,TOTAL,1.08,Isiolo,Gender Parity Index PRIMARY TOTAL
Gender Parity Index,SECONDARY,TOTAL,0.98,Isiolo,Gender Parity Index SECONDARY TOTAL
Learner to teacher Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,40,Isiolo,Learner-Teacher Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner to teacher Ratio in Public Schools,PRIMARY,TOTAL,28,Isiolo,Learner-Teacher Ratio In Public Schools PRIMARY TOTAL
Learner to teacher Ratio in Public Schools,SECONDARY,TOTAL,19,Isiolo,Learner-Teacher Ratio In Public Schools SECONDARY TOTAL
Learner-Classroom Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,64,Isiolo,Learner-Classroom Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner-Classroom Ratio in Public Schools,PRIMARY,TOTAL,33,Isiolo,Learner-Classroom Ratio In Public Schools PRIMARY TOTAL
Learner-Classroom Ratio in Public Schools,SECONDARY,TOTAL,30,Isiolo,Learner-Classroom Ratio In Public Schools SECONDARY TOTAL
Percentage of students with no access to improved water source,NA,TOTAL,37,Isiolo,Percentage Of Students With No Access To Improved Water Source  TOTAL
Number of schools with no water source,NA,TOTAL,63,Isiolo,Number Of Schools With No Water Source  TOTAL
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,FEMALE,0,Isiolo,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE FEMALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,MALE,0,Isiolo,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE MALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,TOTAL,0,Isiolo,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE TOTAL
Students' dropout/Absenteeism during 2022,PRIMARY,FEMALE,0,Isiolo,Students' Dropout/Absenteeism During 2022 PRIMARY FEMALE
Students' dropout/Absenteeism during 2022,PRIMARY,MALE,0,Isiolo,Students' Dropout/Absenteeism During 2022 PRIMARY MALE
Students' dropout/Absenteeism during 2022,PRIMARY,TOTAL,0,Isiolo,Students' Dropout/Absenteeism During 2022 PRIMARY TOTAL
Students' dropout/Absenteeism during 2022,SECONDARY,FEMALE,0,Isiolo,Students' Dropout/Absenteeism During 2022 SECONDARY FEMALE
Students' dropout/Absenteeism during 2022,SECONDARY,MALE,0,Isiolo,Students' Dropout/Absenteeism During 2022 SECONDARY MALE
Students' dropout/Absenteeism during 2022,SECONDARY,TOTAL,0,Isiolo,Students' Dropout/Absenteeism During 2022 SECONDARY TOTAL
Net Enrolment Rate (NER),PREPRIMARY_ECE,FEMALE,106.9,Isiolo,Net Enrolment Rate (NER) PREPRIMARY/ECE FEMALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,MALE,99.4,Isiolo,Net Enrolment Rate (NER) PREPRIMARY/ECE MALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,TOTAL,103.1,Isiolo,Net Enrolment Rate (NER) PREPRIMARY/ECE TOTAL
Net Enrolment Rate (NER),PRIMARY,FEMALE,39.3,Isiolo,Net Enrolment Rate (NER) PRIMARY FEMALE
Net Enrolment Rate (NER),PRIMARY,MALE,35,Isiolo,Net Enrolment Rate (NER) PRIMARY MALE
Net Enrolment Rate (NER),PRIMARY,TOTAL,37.1,Isiolo,Net Enrolment Rate (NER) PRIMARY TOTAL
Net Enrolment Rate (NER),SECONDARY,FEMALE,22.4,Isiolo,Net Enrolment Rate (NER) SECONDARY FEMALE
Net Enrolment Rate (NER),SECONDARY,MALE,18.7,Isiolo,Net Enrolment Rate (NER) SECONDARY MALE
Net Enrolment Rate (NER),SECONDARY,TOTAL,20.4,Isiolo,Net Enrolment Rate (NER) SECONDARY TOTAL
Primary-to-Secondary Transition Rate,SECONDARY,FEMALE,67.5,Isiolo,Primary-To-Secondary Transition Rate SECONDARY FEMALE
Primary-to-Secondary Transition Rate,SECONDARY,MALE,74,Isiolo,Primary-To-Secondary Transition Rate SECONDARY MALE
Primary-to-Secondary Transition Rate,SECONDARY,TOTAL,70.4,Isiolo,Primary-To-Secondary Transition Rate SECONDARY TOTAL
county_population,TOTAL,FEMALE,161431,Isiolo,County population FEMALE
county_population,TOTAL,MALE,154506,Isiolo,County population MALE
county_population,TOTAL,TOTAL,315937,Isiolo,County population TOTAL
school_age_children,TOTAL,FEMALE,60018,Isiolo,School-aged children FEMALE
school_age_children,TOTAL,MALE,57625,Isiolo,School-aged children MALE
school_age_children,TOTAL,TOTAL,117643,Isiolo,School-aged children TOTAL
out_of_school_children,PREPRIMARY_ECE,FEMALE,3860,Isiolo,Out-of-School children PREPRIMARY/ECE FEMALE
out_of_school_children,PREPRIMARY_ECE,MALE,4630,Isiolo,Out-of-School children PREPRIMARY/ECE MALE
out_of_school_children,PREPRIMARY_ECE,TOTAL,8490,Isiolo,Out-of-School children PREPRIMARY/ECE TOTAL
out_of_school_children,PRIMARY,FEMALE,10150,Isiolo,Out-of-School children PRIMARY FEMALE
out_of_school_children,PRIMARY,MALE,11930,Isiolo,Out-of-School children PRIMARY MALE
out_of_school_children,PRIMARY,TOTAL,22080,Isiolo,Out-of-School children PRIMARY TOTAL
out_of_school_children,SECONDARY,FEMALE,4260,Isiolo,Out-of-School children SECONDARY FEMALE
out_of_school_children,SECONDARY,MALE,7030,Isiolo,Out-of-School children SECONDARY MALE
out_of_school_children,SECONDARY,TOTAL,11290,Isiolo,Out-of-School children SECONDARY TOTAL
Percentage of Teenage Pregnancy for girls/women aged 15-19 yrs who have ever been pregnant,TOTAL,FEMALE,16.7,Isiolo,Percentage Of Teenage Pregnancy For Girls/Women Aged 15-19 Yrs Who Have Ever Been Pregnant FEMALE
GBV: Percentage of girls/women who have experienced physical violence since age 15,TOTAL,FEMALE,45.6,Isiolo,GBV: Percentage Of Girls/Women Who Have Experienced Physical Violence Since Age 15 FEMALE
GBV: Percentage of girls/women aged 15-49 yrs who have ever experienced sexual violence,TOTAL,FEMALE,9.2,Isiolo,GBV: Percentage Of Girls/Women Aged 15-49 Yrs Who Have Ever Experienced Sexual Violence FEMALE
Number of education Institutions (Public & Private),PREPRIMARY_ECE,NA,2219,Kitui,Number Of Education Institutions (Public & Private) PREPRIMARY/ECE 
Number of education Institutions (Public & Private),PRIMARY,NA,1523,Kitui,Number Of Education Institutions (Public & Private) PRIMARY 
Number of education Institutions (Public & Private),SECONDARY,NA,455,Kitui,Number Of Education Institutions (Public & Private) SECONDARY 
Gender Parity Index,PREPRIMARY_ECE,TOTAL,0.97,Kitui,Gender Parity Index PREPRIMARY/ECE TOTAL
Gender Parity Index,PRIMARY,TOTAL,0.95,Kitui,Gender Parity Index PRIMARY TOTAL
Gender Parity Index,SECONDARY,TOTAL,1.1,Kitui,Gender Parity Index SECONDARY TOTAL
Learner to teacher Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,35,Kitui,Learner-Teacher Ratio In Public Schools PREPRIMARY/ECE TOTAL
